s, lockin_update_pulse, nco_cos[0..11], nco_cos[11], nco_cos[10], nco_cos[9], nco_cos[8], nco_cos[7], nco_cos[6], nco_cos[5], nco_cos[4], nco_cos[3], nco_cos[2], nco_cos[1], nco_cos[0], nco_sin[0..11], nco_sin[11], nco_sin[10], nco_sin[9], nco_sin[8], nco_sin[7], nco_sin[6], nco_sin[5], nco_sin[4], nco_sin[3], nco_sin[2], nco_sin[1], nco_sin[0], 
47, 1, A2A, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
48, 0, 07E, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
49, 1, DE4, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
50, 0, BC8, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
51, 1, 898, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
52, 0, 11B, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
53, 1, FB7, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
54, 0, 65D, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
55, 1, 451, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
56, 0, F64, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
57, 1, 59D, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
58, 0, C42, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
59, 1, FE3, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
60, 0, FEC, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
61, 1, C86, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
62, 0, 5DF, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
63, 1, FF2, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
64, 0, 4F2, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
65, 1, 464, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
66, 0, DE3, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
67, 1, 9FF, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
68, 0, 133, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
69, 1, DDB, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
70, 0, F42, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
71, 1, F9F, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
72, 0, 930, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
73, 1, B1D, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
74, 0, F65, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
75, 1, ACD, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
76, 0, 3D1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
77, 1, 1EE, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
78, 0, 970, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
79, 1, BF1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
80, 0, E01, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
81, 1, 5D4, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
82, 0, F7C, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
83, 1, 81F, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
84, 0, BDE, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
85, 1, 0D1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
86, 0, 970, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
87, 1, 5E4, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
88, 0, D91, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
89, 1, BDA, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90, 0, DF2, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
91, 1, 72A, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92, 0, 0D0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
93, 1, 89F, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
94, 0, C75, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
95, 1, 048, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
96, 0, 8EC, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
97, 1, 655, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
98, 0, E07, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
99, 1, B68, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
100, 0, DA0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
101, 1, 781, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
102, 0, 12A, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
103, 1, 8D1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
104, 0, CB0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
105, 1, ED9, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
106, 0, 797, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
107, 1, 6B6, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
108, 0, E70, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
109, 1, B3D, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
110, 0, D80, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
111, 1, 727, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
112, 0, 0D0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
113, 1, A2D, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
114, 0, E4D, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
115, 1, A20, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
116, 0, 32C, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
117, 1, CFC, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
118, 0, 446, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
119, 1, E96, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
120, 0, FA9, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
121, 1, 7C1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
122, 0, 137, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
123, 1, 0D5, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
124, 0, 5F5, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
125, 1, F15, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
126, 0, 904, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
127, 1, D37, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
128, 0, 401, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
129, 1, FFC, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
130, 0, FBD, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
131, 1, BEE, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
132, 0, 4EC, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
133, 1, 0DD, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
134, 0, 7A5, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
135, 1, CFB, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
136, 0, 90C, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
137, 1, B7F, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
138, 0, 1CB, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
139, 1, BC1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
140, 0, 8EB, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
141, 1, 7D5, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
142, 0, FA7, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
143, 1, 4D0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
144, 0, CE0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
145, 1, 56E, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
146, 0, 2FD, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
147, 1, B2B, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
148, 0, 17D, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
149, 1, 6F8, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
150, 0, 30B, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
151, 1, 53C, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
152, 0, C3C, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
153, 1, 50B, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
154, 0, DD5, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
155, 1, 09C, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
156, 0, 008, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
157, 1, B0B, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
158, 0, 1D5, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
159, 1, 33B, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
160, 0, CCB, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
161, 1, 0C9, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
162, 0, 50F, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
163, 1, 2E4, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
164, 0, C9A, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
165, 1, 5C1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
